year,sex,level_of_school,age,no_of_principals
2002,F,PRE-UNIVERSITY,50 - 54,4
2002,MF,PRE-UNIVERSITY,55 & ABOVE,6
2002,F,PRE-UNIVERSITY,55 & ABOVE,5
2002,MF,PRIMARY,30 - 34,0
2002,F,PRIMARY,30 - 34,0
2002,MF,PRIMARY,35 - 39,5
2002,F,PRIMARY,35 - 39,3
2002,MF,PRIMARY,40 - 44,34
2002,F,PRIMARY,40 - 44,25
2002,MF,PRIMARY,45 - 49,22
2002,F,PRIMARY,45 - 49,21
2002,MF,PRIMARY,50 - 54,81
2002,F,PRIMARY,50 - 54,52
2002,MF,PRIMARY,55 & ABOVE,35
2002,F,PRIMARY,55 & ABOVE,23
2002,MF,SECONDARY,30 - 34,1
2002,F,SECONDARY,30 - 34,1
2002,MF,SECONDARY,35 - 39,14
2002,F,SECONDARY,35 - 39,10
2002,MF,SECONDARY,40 - 44,44
2002,F,SECONDARY,40 - 44,26
2002,MF,SECONDARY,45 - 49,42
2002,F,SECONDARY,45 - 49,25
2002,MF,SECONDARY,50 - 54,41
2002,F,SECONDARY,50 - 54,24
2002,MF,SECONDARY,55 & ABOVE,23
2002,F,SECONDARY,55 & ABOVE,10
2003,MF,PRE-UNIVERSITY,30 - 34,0
2003,F,PRE-UNIVERSITY,30 - 34,0
2003,MF,PRE-UNIVERSITY,35 - 39,0
2003,F,PRE-UNIVERSITY,35 - 39,0
2003,MF,PRE-UNIVERSITY,40 - 44,4
2003,F,PRE-UNIVERSITY,40 - 44,3
2003,MF,PRE-UNIVERSITY,45 - 49,4
2003,F,PRE-UNIVERSITY,45 - 49,2
2003,MF,PRE-UNIVERSITY,50 - 54,4
2003,F,PRE-UNIVERSITY,50 - 54,2
2003,MF,PRE-UNIVERSITY,55 & ABOVE,6
2003,F,PRE-UNIVERSITY,55 & ABOVE,5
2003,MF,PRIMARY,30 - 34,0
2003,F,PRIMARY,30 - 34,0
2003,MF,PRIMARY,35 - 39,11
2003,F,PRIMARY,35 - 39,7
2003,MF,PRIMARY,40 - 44,32
2003,F,PRIMARY,40 - 44,20
2003,MF,PRIMARY,45 - 49,37
2003,F,PRIMARY,45 - 49,32
2003,MF,PRIMARY,50 - 54,33
2003,F,PRIMARY,50 - 54,24
2003,MF,PRIMARY,55 & ABOVE,78
2003,F,PRIMARY,55 & ABOVE,48
2003,MF,SECONDARY,30 - 34,1
2003,F,SECONDARY,30 - 34,0
2003,MF,SECONDARY,35 - 39,12
2003,F,SECONDARY,35 - 39,7
2003,MF,SECONDARY,40 - 44,40
2003,F,SECONDARY,40 - 44,25
2003,MF,SECONDARY,45 - 49,43
2003,F,SECONDARY,45 - 49,30
2003,MF,SECONDARY,50 - 54,30
2003,F,SECONDARY,50 - 54,14
2003,MF,SECONDARY,55 & ABOVE,40
2003,F,SECONDARY,55 & ABOVE,19
2004,MF,PRE-UNIVERSITY,30 - 34,0
2004,F,PRE-UNIVERSITY,30 - 34,0
2004,MF,PRE-UNIVERSITY,35 - 39,0
2004,F,PRE-UNIVERSITY,35 - 39,0
2004,MF,PRE-UNIVERSITY,40 - 44,3
2004,F,PRE-UNIVERSITY,40 - 44,3
2004,MF,PRE-UNIVERSITY,45 - 49,4
2004,F,PRE-UNIVERSITY,45 - 49,3
2004,MF,PRE-UNIVERSITY,50 - 54,4
2004,F,PRE-UNIVERSITY,50 - 54,1
2004,MF,PRE-UNIVERSITY,55 & ABOVE,7
2004,F,PRE-UNIVERSITY,55 & ABOVE,5
2004,MF,PRIMARY,30 - 34,0
2004,F,PRIMARY,30 - 34,0
2004,MF,PRIMARY,35 - 39,12
2004,F,PRIMARY,35 - 39,6
2004,MF,PRIMARY,40 - 44,31
2004,F,PRIMARY,40 - 44,23
2004,MF,PRIMARY,45 - 49,46
2004,F,PRIMARY,45 - 49,35
2004,MF,PRIMARY,50 - 54,22
2004,F,PRIMARY,50 - 54,18
2004,MF,PRIMARY,55 & ABOVE,75
2004,F,PRIMARY,55 & ABOVE,44
2004,MF,SECONDARY,30 - 34,1
2004,F,SECONDARY,30 - 34,0
2004,MF,SECONDARY,35 - 39,20
2004,F,SECONDARY,35 - 39,11
2004,MF,SECONDARY,40 - 44,33
2004,F,SECONDARY,40 - 44,22
2004,MF,SECONDARY,45 - 49,54
2004,F,SECONDARY,45 - 49,34
2004,MF,SECONDARY,50 - 54,28
2004,F,SECONDARY,50 - 54,15
2004,MF,SECONDARY,55 & ABOVE,42
2004,F,SECONDARY,55 & ABOVE,20
2005,MF,PRE-UNIVERSITY,30 - 34,0
2005,F,PRE-UNIVERSITY,30 - 34,0
2005,MF,PRE-UNIVERSITY,35 - 39,1
2005,F,PRE-UNIVERSITY,35 - 39,1
2005,MF,PRE-UNIVERSITY,40 - 44,0
2005,F,PRE-UNIVERSITY,40 - 44,0
2005,MF,PRE-UNIVERSITY,45 - 49,5
2005,F,PRE-UNIVERSITY,45 - 49,3
2005,MF,PRE-UNIVERSITY,50 - 54,5
2005,F,PRE-UNIVERSITY,50 - 54,3
2005,MF,PRE-UNIVERSITY,55 & ABOVE,6
2005,F,PRE-UNIVERSITY,55 & ABOVE,4
2005,MF,PRIMARY,30 - 34,0
2005,F,PRIMARY,30 - 34,0
2005,MF,PRIMARY,35 - 39,16
2005,F,PRIMARY,35 - 39,7
2005,MF,PRIMARY,40 - 44,25
2005,F,PRIMARY,40 - 44,18
2005,MF,PRIMARY,45 - 49,47
2005,F,PRIMARY,45 - 49,32
2005,MF,PRIMARY,50 - 54,24
2005,F,PRIMARY,50 - 54,21
2005,MF,PRIMARY,55 & ABOVE,68
2005,F,PRIMARY,55 & ABOVE,43
2005,MF,SECONDARY,30 - 34,1
2005,F,SECONDARY,30 - 34,0
2005,MF,SECONDARY,35 - 39,20
2005,F,SECONDARY,35 - 39,8
2005,MF,SECONDARY,40 - 44,30
2005,F,SECONDARY,40 - 44,21
2005,MF,SECONDARY,45 - 49,49
2005,F,SECONDARY,45 - 49,32
2005,MF,SECONDARY,50 - 54,32
2005,F,SECONDARY,50 - 54,19
2005,MF,SECONDARY,55 & ABOVE,36
2005,F,SECONDARY,55 & ABOVE,17
2006,MF,PRE-UNIVERSITY,30 - 34,0
2006,F,PRE-UNIVERSITY,30 - 34,0
2006,MF,PRE-UNIVERSITY,35 - 39,2
2006,F,PRE-UNIVERSITY,35 - 39,1
2006,MF,PRE-UNIVERSITY,40 - 44,3
2006,F,PRE-UNIVERSITY,40 - 44,2
2006,MF,PRE-UNIVERSITY,45 - 49,6
2006,F,PRE-UNIVERSITY,45 - 49,4
2006,MF,PRE-UNIVERSITY,50 - 54,5
2006,F,PRE-UNIVERSITY,50 - 54,3
2006,MF,PRE-UNIVERSITY,55 & ABOVE,6
2006,F,PRE-UNIVERSITY,55 & ABOVE,4
2006,MF,PRIMARY,30 - 34,0
2006,F,PRIMARY,30 - 34,0
2006,MF,PRIMARY,35 - 39,10
2006,F,PRIMARY,35 - 39,3
2006,MF,PRIMARY,40 - 44,23
2006,F,PRIMARY,40 - 44,15
2006,MF,PRIMARY,45 - 49,49
2006,F,PRIMARY,45 - 49,33
2006,MF,PRIMARY,50 - 54,23
2006,F,PRIMARY,50 - 54,21
2006,MF,PRIMARY,55 & ABOVE,67
2006,F,PRIMARY,55 & ABOVE,42
2006,MF,SECONDARY,30 - 34,0
2006,F,SECONDARY,30 - 34,0
2006,MF,SECONDARY,35 - 39,14
2006,F,SECONDARY,35 - 39,5
2006,MF,SECONDARY,40 - 44,25
2006,F,SECONDARY,40 - 44,16
2006,MF,SECONDARY,45 - 49,49
2006,F,SECONDARY,45 - 49,33
2006,MF,SECONDARY,50 - 54,33
2006,F,SECONDARY,50 - 54,20
2006,MF,SECONDARY,55 & ABOVE,39
2006,F,SECONDARY,55 & ABOVE,18
2007,MF,PRE-UNIVERSITY,30 - 34,0
2007,F,PRE-UNIVERSITY,30 - 34,0
2007,MF,PRE-UNIVERSITY,35 - 39,0
2007,F,PRE-UNIVERSITY,35 - 39,0
2007,MF,PRE-UNIVERSITY,40 - 44,7
2007,F,PRE-UNIVERSITY,40 - 44,3
2007,MF,PRE-UNIVERSITY,45 - 49,3
2007,F,PRE-UNIVERSITY,45 - 49,2
2007,MF,PRE-UNIVERSITY,50 - 54,7
2007,F,PRE-UNIVERSITY,50 - 54,4
2007,MF,PRE-UNIVERSITY,55 & ABOVE,4
2007,F,PRE-UNIVERSITY,55 & ABOVE,2
2007,MF,PRIMARY,30 - 34,0
2007,F,PRIMARY,30 - 34,0
2007,MF,PRIMARY,35 - 39,12
2007,F,PRIMARY,35 - 39,6
2007,MF,PRIMARY,40 - 44,27
2007,F,PRIMARY,40 - 44,18
2007,MF,PRIMARY,45 - 49,52
2007,F,PRIMARY,45 - 49,36
2007,MF,PRIMARY,50 - 54,34
2007,F,PRIMARY,50 - 54,30
2007,MF,PRIMARY,55 & ABOVE,45
2007,F,PRIMARY,55 & ABOVE,32
2007,MF,SECONDARY,30 - 34,0
2007,F,SECONDARY,30 - 34,0
2007,MF,SECONDARY,35 - 39,22
2007,F,SECONDARY,35 - 39,8
2007,MF,SECONDARY,40 - 44,28
2007,F,SECONDARY,40 - 44,17
2007,MF,SECONDARY,45 - 49,49
2007,F,SECONDARY,45 - 49,30
2007,MF,SECONDARY,50 - 54,28
2007,F,SECONDARY,50 - 54,18
2007,MF,SECONDARY,55 & ABOVE,33
2007,F,SECONDARY,55 & ABOVE,13
2008,MF,PRE-UNIVERSITY,30 - 34,0
2008,F,PRE-UNIVERSITY,30 - 34,0
2008,MF,PRE-UNIVERSITY,35 - 39,0
2008,F,PRE-UNIVERSITY,35 - 39,0
2008,MF,PRE-UNIVERSITY,40 - 44,2
2008,F,PRE-UNIVERSITY,40 - 44,1
2008,MF,PRE-UNIVERSITY,45 - 49,3
2008,F,PRE-UNIVERSITY,45 - 49,2
2008,MF,PRE-UNIVERSITY,50 - 54,8
2008,F,PRE-UNIVERSITY,50 - 54,5
2008,MF,PRE-UNIVERSITY,55 & ABOVE,4
2008,F,PRE-UNIVERSITY,55 & ABOVE,2
2008,MF,PRIMARY,30 - 34,0
2008,F,PRIMARY,30 - 34,0
2008,MF,PRIMARY,35 - 39,12
2008,F,PRIMARY,35 - 39,5
2008,MF,PRIMARY,40 - 44,29
2008,F,PRIMARY,40 - 44,18
2008,MF,PRIMARY,45 - 49,46
2008,F,PRIMARY,45 - 49,33
2008,MF,PRIMARY,50 - 54,40
2008,F,PRIMARY,50 - 54,33
2008,MF,PRIMARY,55 & ABOVE,47
2008,F,PRIMARY,55 & ABOVE,34
2008,MF,SECONDARY,30 - 34,0
2008,F,SECONDARY,30 - 34,0
2008,MF,SECONDARY,35 - 39,20
2008,F,SECONDARY,35 - 39,6
2008,MF,SECONDARY,40 - 44,31
2008,F,SECONDARY,40 - 44,19
2008,MF,SECONDARY,45 - 49,45
2008,F,SECONDARY,45 - 49,27
2008,MF,SECONDARY,50 - 54,32
2008,F,SECONDARY,50 - 54,21
2008,MF,SECONDARY,55 & ABOVE,37
2008,F,SECONDARY,55 & ABOVE,17
2009,MF,PRE-UNIVERSITY,30 - 34,0
2009,F,PRE-UNIVERSITY,30 - 34,0
2009,MF,PRE-UNIVERSITY,35 - 39,0
2009,F,PRE-UNIVERSITY,35 - 39,0
2009,MF,PRE-UNIVERSITY,40 - 44,1
2009,F,PRE-UNIVERSITY,40 - 44,1
2009,MF,PRE-UNIVERSITY,45 - 49,4
2009,F,PRE-UNIVERSITY,45 - 49,2
2009,MF,PRE-UNIVERSITY,50 - 54,6
2009,F,PRE-UNIVERSITY,50 - 54,5
2009,MF,PRE-UNIVERSITY,55 & ABOVE,6
2009,F,PRE-UNIVERSITY,55 & ABOVE,3
2009,MF,PRIMARY,30 - 34,0
2009,F,PRIMARY,30 - 34,0
2009,MF,PRIMARY,35 - 39,18
2009,F,PRIMARY,35 - 39,14
2009,MF,PRIMARY,40 - 44,38
2009,F,PRIMARY,40 - 44,22
2009,MF,PRIMARY,45 - 49,34
2009,F,PRIMARY,45 - 49,27
2009,MF,PRIMARY,50 - 54,46
2009,F,PRIMARY,50 - 54,36
2009,MF,PRIMARY,55 & ABOVE,36
2009,F,PRIMARY,55 & ABOVE,25
2009,MF,SECONDARY,30 - 34,1
2009,F,SECONDARY,30 - 34,1
2009,MF,SECONDARY,35 - 39,25
2009,F,SECONDARY,35 - 39,5
2009,MF,SECONDARY,40 - 44,35
2009,F,SECONDARY,40 - 44,19
2009,MF,SECONDARY,45 - 49,39
2009,F,SECONDARY,45 - 49,23
2009,MF,SECONDARY,50 - 54,33
2009,F,SECONDARY,50 - 54,20
2009,MF,SECONDARY,55 & ABOVE,32
2009,F,SECONDARY,55 & ABOVE,15
2010,MF,PRE-UNIVERSITY,30 - 34,0
2010,F,PRE-UNIVERSITY,30 - 34,0
2010,MF,PRE-UNIVERSITY,35 - 39,0
2010,F,PRE-UNIVERSITY,35 - 39,0
2010,MF,PRE-UNIVERSITY,40 - 44,1
2010,F,PRE-UNIVERSITY,40 - 44,1
2010,MF,PRE-UNIVERSITY,45 - 49,2
2010,F,PRE-UNIVERSITY,45 - 49,1
2010,MF,PRE-UNIVERSITY,50 - 54,7
2010,F,PRE-UNIVERSITY,50 - 54,5
2010,MF,PRE-UNIVERSITY,55 & ABOVE,7
2010,F,PRE-UNIVERSITY,55 & ABOVE,5
2010,MF,PRIMARY,30 - 34,0
2010,F,PRIMARY,30 - 34,0
2010,MF,PRIMARY,35 - 39,12
